;latitud;longitud;profundidad;magnitud;err_prof;err_h
268;-32.746;-71.324;52.6;3.3;11;2.45
269;-31.904;-71.563;33.2;3.7;1.7;1.85
270;-31.641;-69.801;164.9;3.2;3.6;2.45
271;-33.153;-69.027;11.4;0;50.3;20.25
272;-33.508;-70.872;72;4.2;2;0.7
273;-31.708;-69.752;161.1;3.7;4.3;2.9
274;-31.647;-69.977;163.5;3.3;4.2;3.6
275;-33.72;-71.268;42.2;0;1.9;0.7
276;-31.664;-69.823;170.1;0;2.5;1.9
277;-32.322;-71.097;78.6;3.3;1.9;1.05
278;-33.938;-70.003;8.1;0;1.5;1.1
279;-30.787;-71.658;51.2;4.6;3.5;1.95
280;-32.892;-71.748;35.1;0;1.6;1.1
281;-31.824;-70.17;136.2;0;3.9;2.8
282;-32.736;-69.256;22.4;0;4.7;1.6
283;-32.724;-69.553;18.2;4.6;3.2;0.95
284;-34.42;-71.253;56.6;3.2;1.7;0.65
285;-32.437;-69.139;185.2;3.7;2.2;1.25
286;-31.716;-70.528;139.8;2.9;3.1;2.2
287;-32.668;-71.803;26.4;4.3;3.5;1.15
288;-31.848;-70.196;140.5;3.2;2.7;1.8
289;-33.933;-68.573;0.3;4.3;9;4.1
290;-34.063;-70.381;11;3.4;0.6;0.75
291;-32.595;-71.83;10.7;3.2;15.1;5.95
292;-34.458;-70.75;97.2;0;0.7;0.4
293;-31.997;-69.925;146.4;4.2;3.2;2.3
294;-31.101;-69.257;151.2;0;15.5;6.5
295;-32.781;-70.608;44.6;0;1;0.95
296;-31.571;-69.573;184.8;4;3.5;2.3
297;-32.034;-68.497;0.5;4;7.3;3.65
298;-32.323;-73.461;13.5;0;7.9;4.55
299;-33.294;-72.73;38.2;0;3.8;3.3
300;-34.086;-70.18;118.2;0;1.6;1.4
301;-31.981;-69.75;143.5;0;3.3;2.15
302;-32.226;-71.843;25.2;0;2.2;1.45
303;-31.935;-71.635;25.1;4;2.9;3.25
304;-32.01;-71.599;9.9;0;7.4;3.7
305;-32.086;-71.761;10;0;14.3;5.7
306;-33.731;-72.189;22.6;0;9.9;0.85
307;-32.158;-71.84;19;0;3.8;2
308;-33.282;-70.748;73.6;0;1.3;0.5
309;-32.294;-71.882;20.8;3.5;1.2;0.7
310;-34.945;-71.291;68.7;0;2.7;1.25
311;-34.959;-72.052;32.7;0;1.4;1.5
312;-35.309;-70.74;0.8;0;3.4;3.5
313;-32.181;-69.851;153.3;0;3.7;2.75
314;-34.22;-70.31;119;0;1.6;1.3
315;-32.628;-70.825;72.4;0;2;1.05
316;-31.936;-69.593;156.7;3.3;3.6;2.3
317;-32.485;-71.808;31.5;4.1;1.1;0.75
318;-32.278;-69.421;166.4;2.9;4.2;2.75
319;-33.981;-71.206;62.7;2.9;1.2;0.45
320;-33.03;-70.045;112;0;2.6;2.15
321;-34.547;-71.107;42;3.5;0.6;0.45
322;-33.303;-72.04;15.3;4.7;2.1;1
323;-33.315;-71.913;9.5;3.8;2.3;1.3
324;-33.349;-71.878;4.2;3.5;5.7;2.9
325;-33.307;-71.97;22.5;4.2;4.6;0.65
326;-33.308;-71.968;13.1;3.6;0.8;0.6
327;-33.316;-71.964;15.3;3.5;4.5;1.9
328;-33.311;-71.961;12.9;0;1.5;1.25
329;-33.326;-71.992;14.9;0;5;2.05
330;-33.316;-71.973;15.2;0;3.6;1.45
331;-33.321;-71.972;16.3;0;4.3;0.75
332;-32.889;-70.4;110;3.8;1.1;0.95
333;-32.576;-71.543;14.8;3.7;4.1;1.6
334;-33.895;-70.584;99.7;2.6;0.9;0.55
335;-32.764;-71.868;25.5;4.4;1.9;0.9
336;-32.68;-71.885;13.8;5;11.7;4.85
337;-32.762;-71.828;26.3;4.2;2.2;1.2
338;-32.684;-71.756;25.2;3.8;2.1;0.65
339;-32.707;-71.791;14.4;3.9;6.3;2.65
340;-32.51;-71.743;17.9;3.5;3;1.75
341;-32.635;-71.794;15;3.8;6.3;2.6
342;-32.763;-71.794;13.6;3.4;1.6;1.65
343;-32.696;-71.752;9.1;3.9;1.9;1.55
344;-32.742;-71.838;11.8;3.8;1.6;1.7
345;-32.646;-71.751;8.2;3.5;2.7;2.3
346;-32.683;-71.77;7.2;3.5;3.2;2.5
347;-32.643;-71.878;14.2;4.2;5.5;2.3
348;-32.649;-71.875;23.7;4.2;5.2;0.8
349;-32.141;-71.835;10.9;3.6;7.9;3.65
350;-32.788;-70.107;111.5;2.5;1.6;1.15
351;-33.139;-69.012;14.9;3.4;32.1;13.05
352;-34.134;-70.067;6.5;3.4;1.7;1.35
353;-32.629;-71.809;13.4;3.6;7.7;3.2
354;-33.057;-70.262;96.9;2.5;1.3;0.9
355;-33.882;-70.591;90.6;2.5;1.5;1
356;-32.392;-71.469;31.9;3.8;1.9;1.3
357;-31.039;-71.822;19.5;3.8;3.1;3.65
358;-33.502;-72.315;15.2;3.8;4.2;1.75
359;-32.091;-71.589;19.4;3.6;2.4;1.45
360;-32.65;-71.775;13.5;3.1;7.1;3
361;-33.289;-70.918;63.5;0;2.5;1.35
362;-31.241;-69.36;168.7;3.5;13.4;7.5
363;-32.244;-69.955;144.1;3.2;2.1;1.7
364;-31.588;-70.119;137.4;3.2;3.8;2.75
365;-32.798;-71.806;11.7;3.9;0.8;0.75
366;-27.971;-67.746;302.6;4.4;25.7;14.75
367;-32.744;-71.845;14.6;4.2;5.3;2.2
368;-32.404;-69.918;111.2;3.5;1.9;1.15
369;-31.557;-69.312;169.6;3.7;4.8;2.5
370;-32.65;-69.246;20.2;3.7;6.1;2.05
371;-32.481;-71.696;33.8;3.8;1.4;1.15
372;-33.303;-72.356;34.7;4;1.2;0.9
373;-34.317;-72.751;34.4;0;1;0.9
374;-32.765;-71.766;11.8;3.8;1.4;1
375;-31.427;-69.943;147.8;3.5;9.4;6.9
376;-40.564;-71.571;119.1;4.4;10.4;3.9
377;-34.098;-70.902;78.6;2.1;0.8;0.3
378;-34.849;-71.179;10.8;3.5;1;0.95
379;-32.314;-71.84;27.4;3.8;1.9;1.65
380;-33.515;-71.057;58.4;2.3;2.1;0.55
381;-34.67;-70.756;103.4;2.6;0.9;0.5
382;-32.994;-69.74;138.1;2.8;1.9;1.25
383;-31.923;-71.303;45.5;3.5;2;1.35
384;-35.351;-71.457;83.6;3.2;5;2.7
385;-31.842;-69.117;204.8;3.8;4.3;2.9
386;-31.788;-70.457;132.8;4.4;2.1;1.1
387;-32.919;-69.131;3.5;3.5;11.2;4.7
388;-31.018;-68.126;169.1;4.3;14;4.4
389;-31.187;-71.606;28.3;4.2;1.4;1.4
390;-33.576;-70.266;110.7;3.1;1.1;0.75
391;-33.939;-71.49;46.8;3.7;1.5;1.55
392;-32.483;-69.953;133;2.9;1.9;1.5
393;-32.332;-70.612;94;4.3;2.3;1.35
394;-33.405;-70.612;81.9;2.6;0.9;0.45
395;-34.777;-70.434;132.6;2.9;1.5;0.85
396;-31.446;-69.458;207;3.8;6.5;4.9
397;-32.417;-71.421;40;4.5;1.4;1.2
398;-31.32;-70.054;187.7;3.7;7.9;8.05
